"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Chitinilyticum"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.52850470475383	0	0.47817959937897	0.269054264031149	0.421128413266147	0.0378993542560994	0.066775052736937	NA	"prevalence"	235	216
"Pedosphaeraceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.01154553663348	-0.511589220750174	0.454299365128402	0.285093037619042	0.432141025443601	0.285093037619042	0.363739392824295	NA	"abundance"	235	117
"Rhizobium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.865719900011847	-0.511589220750174	0.308622680275783	0.284832747199397	0.432141025443601	6.6121939551277e-06	4.94759043951501e-05	NA	"abundance"	235	114
"Rhodovastum"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.284713807511233	0	0.263717717576902	0.280313314657372	0.432141025443601	0.345754599398306	0.426430672591244	NA	"prevalence"	235	132
"Fluviicola"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.895860816997127	-0.511589220750174	0.372526815651691	0.322492088960002	0.483738133440002	0.322492088960002	0.404481603102375	NA	"abundance"	235	138
"Telmatocola"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.10249447532975	-0.511589220750174	0.594001768961735	0.329150217798121	0.488635374875562	0.126111866966692	0.186645563110705	NA	"abundance"	235	61
"Saprospiraceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.285088013539445	0	0.297238347081981	0.337496991025931	0.495913945997287	0.561089763100305	0.659057816974961	NA	"prevalence"	235	61
"Elstera"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.0804291486893146	-0.511589220750174	0.646318727134194	0.364308048624245	0.525628412130961	0.595895742956085	0.679433911651539	NA	"abundance"	235	73
"Gordonia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.0958125662197426	-0.511589220750174	0.446938627649022	0.365019730646501	0.525628412130961	0.596800057531758	0.679433911651539	NA	"abundance"	235	105
"Undibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.963111544121752	-0.511589220750174	0.497755211803205	0.372708528660869	0.531386417100645	0.0642319628667662	0.103329679394363	NA	"abundance"	235	127
"Dechloromonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.807758127409217	-0.511589220750174	0.324896799182167	0.387365594529708	0.546869074630176	0.0245324872366909	0.0518686873004322	NA	"abundance"	235	192
"Gordonia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.220594714013966	0	0.263049615097756	0.40169102198843	0.556187568907056	0.596800057531758	0.679433911651539	NA	"prevalence"	235	105
"OM190 Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.03291831314395	-0.511589220750174	0.625241073758357	0.408827505954906	0.560677722452443	0.267546873511666	0.34734155508532	NA	"abundance"	235	70
"Rhizobiaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.258032862806109	-0.511589220750174	0.289656722095252	0.412735156456589	0.560696816318385	0.0171199484452041	0.0372610642630913	NA	"abundance"	235	125
"Roseomonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.753658811189148	-0.511589220750174	0.281378602101842	0.422673741623133	0.563564988830844	0.422673741623133	0.512751752132981	NA	"abundance"	235	181
"Chryseotalea"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.121365418293268	-0.511589220750174	0.48554308120851	0.428407744315781	0.563597376692435	3.7477636803125e-06	3.96192160490179e-05	NA	"abundance"	235	139
"Longivirga"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.208702668816769	0	0.264752908733561	0.430525773862277	0.563597376692435	0.037842507743322	0.066775052736937	NA	"prevalence"	235	134
"Fimbriiglobus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.861462504502626	-0.511589220750174	0.452005507982889	0.449531035686821	0.583175397647768	0.162745350911034	0.22302140680401	NA	"abundance"	235	100
"Bacteroidia Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.2005319227556	0	0.273043580982051	0.462685535562313	0.594881402865831	0.711293166306042	0.7952289084863	NA	"prevalence"	235	85
"Sphingorhabdus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.926700502827754	-0.511589220750174	0.58233272458867	0.481107803950862	0.613093130698443	0.730750888879303	0.7952289084863	NA	"abundance"	235	60
"Gemmata"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.820536075009292	-0.511589220750174	0.443953523765224	0.495858229023667	0.626347236661474	0.745841074756846	0.799887529449372	NA	"abundance"	235	116
"SH-PL14"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.288568000856083	-0.511589220750174	0.318739067847083	0.504222063598462	0.631373714418944	0.0418785608923001	0.0720700815355862	NA	"abundance"	235	139
"Cytophagales Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.174612027859732	0	0.270387510093667	0.518419011696329	0.643554635209236	0.189207470075543	0.250024156885539	NA	"prevalence"	235	87
"Acidovorax"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.169357402032412	0	0.281351666390053	0.547212704847196	0.668515566360859	0.0458576415152714	0.075410343825113	NA	"prevalence"	235	75
"Culicoidibacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.449696346768066	0	0.748193339904053	0.547811366879037	0.668515566360859	0.0163046419776421	0.0365619244347126	NA	"prevalence"	235	228
"env.OPS 17 Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.223922194831238	-0.511589220750174	0.494422093013432	0.565575180228268	0.678690216273922	3.47076509824713e-07	5.13673234540576e-06	NA	"abundance"	235	113
"Bradyrhizobium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.718574995619351	-0.511589220750174	0.358295115030103	0.578737809401626	0.683100365195362	0.0002599164108743	0.00113140084733519	NA	"abundance"	235	106
"Gemmataceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.288066751414728	-0.511589220750174	0.388497262780646	0.576070142060439	0.683100365195362	0.820283475547344	0.867156817007192	NA	"abundance"	235	157
"Saprospiraceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.864608302127175	-0.511589220750174	0.64353978218999	0.585373936805504	0.685315828455225	0.561089763100305	0.659057816974961	NA	"abundance"	235	61
"Shewanella"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.296397391369602	0	0.574668351397944	0.606014212093528	0.703758439850549	3.76587649952818e-13	1.39337430482543e-11	NA	"prevalence"	235	222
"Ensifer"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.373188560021622	-0.511589220750174	0.276091693462569	0.637823184088027	0.71834793149891	0.868827954015865	0.892962063849639	NA	"abundance"	235	159
"Haliscomenobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.837705841911047	-0.511589220750174	0.670157906549172	0.626523879340863	0.71834793149891	0.860515587297402	0.892962063849639	NA	"abundance"	235	95
"Haliscomenobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.123648504171201	0	0.266172775384925	0.642259285291336	0.71834793149891	0.860515587297402	0.892962063849639	NA	"prevalence"	235	95
"Ensifer"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.125417704509728	0	0.280007169678267	0.65421894201887	0.719141432448223	0.868827954015865	0.892962063849639	NA	"prevalence"	235	159
"Nitrosomonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.767424863541546	-0.511589220750174	0.629880178846054	0.685442505280207	0.74775546030568	0.450179017345264	0.53731044005725	NA	"abundance"	235	64
"Legionella"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.622275337336296	-0.511589220750174	0.29910371248104	0.723786609590093	0.78096558835065	0.723786609590093	0.7952289084863	NA	"abundance"	235	150
