gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
mhc2dhb,Paenirhodobacter,-0.451826224402924,0.00199800199800199,0.01908091908091908,0.451826224402924,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC564808,Tundrisphaera,-0.44949886435335584,0.01298701298701298,0.04000837871805614,0.44949886435335584,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-209n20.1,Tundrisphaera,-0.4446520160316973,0.01298701298701298,0.04000837871805614,0.4446520160316973,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ciita,Tundrisphaera,-0.4429720684489724,0.02497502497502497,0.04816542680620351,0.4429720684489724,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC141381703,Tundrisphaera,-0.4327698673263241,0.01198801198801198,0.04000837871805614,0.4327698673263241,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
e2f7,Tundrisphaera,-0.42827130019816334,0.01898101898101898,0.04647916186377725,0.42827130019816334,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
nemp2,Tundrisphaera,-0.4276498689132242,0.05894105894105894,0.06906590342173163,0.4276498689132242,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-15j1.5,Tundrisphaera,-0.4195786450216797,0.02297702297702297,0.0477022977022977,0.4195786450216797,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-217k17.12,Tundrisphaera,-0.41875742441587654,0.02397602397602397,0.0477022977022977,0.41875742441587654,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:dkeyp-30d6.2,Tundrisphaera,-0.4046765635437819,0.01998001998001998,0.0477022977022977,0.4046765635437819,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC100334716,Tundrisphaera,-0.3827362633578768,0.01598401598401598,0.0429992542668599,0.3827362633578768,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
gig2l,Tundrisphaera,-0.35638376995512544,0.01198801198801198,0.04000837871805614,0.35638376995512544,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
zgc:154142,Comamonadaceae Genus,-0.3475968693849905,0.02197802197802198,0.0477022977022977,0.3475968693849905,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
